% Device,10G100412
% File name,10G100412_20111106_203824
% Cast time (UTC),2011-11-06 20:38:24
% Cast time (local),2011-11-06 15:38:24
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,43.0882332
% Start longitude,-70.9389854
% Start altitude,-26.600000381469727
% Start GPS horizontal error(Meter),4.53999996185303
% Start GPS vertical error(Meter),6.21999979019165
% Start GPS number of satellites,5
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),81
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2010-07-12
% Temperature calibration date,2010-07-12
% Pressure calibration date,2010-07-10
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15315636098925625,16.345451354980469,46.623443603515625,56.38279674736139,0.030139874644429524,1470.6126670542014,998.91221656213463
0.44999999999999996,0.45933423260420142,8.6832737191495948,62.20250153867152,92.334406176363117,0.043052786688434624,1442.0284738566079,999.84260606618307
0.74999999999999989,0.7653468064149842,6.3098669383157313,66.9650263426179,106.93917427778789,0.04838519795970346,1432.0222206304084,999.97500083372427
1.05,1.0713356559972453,5.5551024856701936,63.552874378558535,103.99715466240657,0.046598076093548185,1428.7168819904105,999.99802922510628
1.35,1.3773204051724424,5.4245559116400122,62.685119661187549,103.01731246832281,0.046074028341933068,1428.1427072161737,1000.0021818049419
1.65,1.6833041021873292,5.3438249126885831,62.326594986223782,102.70062387580096,0.045880422350713025,1427.7886972877295,1000.0052867169308
1.9500000000000002,1.9892866145194397,5.1273799971996077,60.804910910198785,100.9130414192185,0.044937045476599775,1426.8276726561862,1000.0103055719052
2.25,2.2952678613232567,4.9907972179121192,60.337116219086418,100.59271812729583,0.044705674833952269,1426.2208860935336,1000.0139389726245
2.55,2.6012483000807847,4.9415869671078241,59.915173031524191,100.05343587389622,0.044430807245765175,1426.0045304854689,1000.0159675891703
2.85,2.9072281083465135,4.8676138772946782,59.670375589766955,99.891433970773761,0.044310188549791275,1425.6768341201635,1000.0184404438282
3.15,3.2132072146536732,4.7619928703823113,58.899113735762462,98.950218139417657,0.043817775814835265,1425.2054852187855,1000.0209362208607
3.4499999999999997,3.5191857633464814,4.7507737553369216,58.742539617811119,98.724389659400757,0.043708550982699643,1425.1594738066676,1000.022465584823
3.75,3.8251639096365295,4.74861269986766,58.703228984444323,98.665490012422438,0.043680384896908779,1425.1543951348517,1000.0239468288592
4.05,4.1311415933752134,4.7150531479231983,58.728246009031267,98.819015595696172,0.043727637066675568,1425.0078070221218,1000.0258693670069
4.35,4.4371188355571594,4.7124044302888972,58.455544263677794,98.368922651187518,0.043522932750669381,1425.0002850921508,1000.0272133859693
4.6499999999999995,4.7430956788110112,4.6999681881336732,58.475188236383339,98.443183282173536,0.043548103758633196,1424.9488972507559,1000.0288572875979
4.9499999999999993,5.04907210155253,4.7026633816594563,58.542517521786415,98.547589435927051,0.043596641391866871,1424.9658256256355,1000.0303424015805
5.2499999999999991,5.3550481137723311,4.698163236893218,58.617253208270895,98.688347728273456,0.043656899074750323,1424.9502946597661,1000.0319210067293
5.55,5.661023716467473,4.6973572449835368,58.603036004589264,98.667089332483386,0.043646565518458635,1424.9513429441829,1000.0333996108625
5.85,5.9669989256182427,4.69978359861202,58.646923464726584,98.732913776966654,0.043677552646673508,1424.9670356377328,1000.0348737658137
6.1499999999999995,6.2729737541993522,4.6933868049409027,58.38096614555829,98.306344320149847,0.043481037151739642,1424.9426010961277,1000.0362675651651
6.4499999999999993,6.5789482031648614,4.6882149920058573,58.26178459170184,98.122747708796211,0.043394769879022438,1424.9238386759234,1000.0377354907357
6.7499999999999991,6.884922244399303,4.688220091753875,58.425926937512777,98.399174414873414,0.043519032094027806,1424.9287263923625,1000.039313080563
7.0499999999999989,7.190895879172321,4.6962590688687378,58.558683356661845,98.596060905951362,0.043612682771062061,1424.969841425331,1000.0407727142562
7.35,7.4968691295853036,4.699313251734182,58.548315415879948,98.568466751434457,0.043601995459355183,1424.9883133898334,1000.0422058399489
7.6499999999999995,7.8028419791729364,4.6960609380071858,58.629669512915534,98.716239900149532,0.04366621734761468,1424.9784184602354,1000.043773111312
7.9724833041797449,8.131745419622824,4.7506931370877306,58.686903040131682,98.631152507454644,0.043662948770639705,1425.2299171671878,1000.0446960988368
7.9724833041797449,8.131334179974484,4.7506931370877306,58.686903040131682,98.631152507454644,0.043662948770639705,1425.2299171671878,1000.0446960988368
7.6499999999999995,7.8024307395663337,4.6960609380071858,58.629669512915534,98.716239900149532,0.04366621734761468,1424.9784184602354,1000.043773111312
7.35,7.4964579867939038,4.6905030762646591,59.405689073642634,100.04156703079418,0.044260006750533841,1424.9494156844191,1000.0428384475854
7.0499999999999989,7.1904848790787312,4.6846873982951935,58.817214763501589,99.069958147646673,0.043818662150802885,1424.917873557775,1000.0410726388016
6.7499999999999991,6.884511296002886,4.6903054292130522,58.529520336601621,98.56671982736313,0.043595846511832057,1424.938242827172,1000.0393508352062
6.4499999999999993,6.5785372705432534,4.7018492330677617,58.643428640612939,98.720164156182975,0.043672675322299674,1424.9857524420115,1000.037800598377
6.1499999999999995,6.2725628117423193,4.7273562352502685,58.867091314566977,99.011649150224855,0.043820729932458127,1425.0963338324164,1000.0361379127061
