% Device,11E101663
% File name,11E101663_20120821_122817
% Cast time (UTC),2012-08-21 12:28:17
% Cast time (local),2012-08-21 13:28:17
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,43.0390326
% Start longitude,-70.6471651
% Start altitude,-30.739999771118164
% Start GPS horizontal error(Meter),2.26999998092651
% Start GPS vertical error(Meter),3.34999990463257
% Start GPS number of satellites,6
% End latitude,43.0391689
% End longitude,-70.646681
% End altitude,-18.450000762939453
% End GPS horizontal error(Meter),9.64999961853027
% End GPS vertical error(Meter),14.4399995803833
% End GPS number of satellites,6
% Cast duration (Seconds),218.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-06-03
% Temperature calibration date,2011-06-03
% Pressure calibration date,2011-06-01
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14964919506734439,18.367191120250766,41824.980532429072,48221.915521868395,31.263900946362082,1512.6298657208513,1022.3258715766197
0.44999999999999996,0.44895614762689817,18.37271038837936,41831.238142362054,48222.992946239414,31.264821480883565,1512.65204077539,1022.3265536731774
0.74999999999999989,0.74825952728447587,18.369924188764823,41832.350302908075,48227.373099426506,31.267765450417727,1512.6522049221171,1022.3308048545636
1.05,1.0475621488044802,18.367605303744835,41829.460366572486,48226.619931629561,31.267017275294638,1512.6495633454658,1022.3321216305424
1.35,1.3468640495004389,18.363971760750857,41829.075504118475,48230.217166106508,31.269357542524304,1512.6465649882493,1022.336117949903
1.65,1.6461646748742356,18.361936353954849,41832.498575997713,48236.428182689262,31.273658511787069,1512.6504580166591,1022.3412227952945
1.9500000000000002,1.9454634395869175,18.35690645326271,41836.581748298304,48246.732955217565,31.280788274831288,1512.6487850787755,1022.3492179912223
2.25,2.2447609947122573,18.350728850663913,41827.663001679808,48243.321520347657,31.277946807845154,1512.6324816464221,1022.3498750376291
2.55,2.5440570875451751,18.340894459495864,41828.235915704681,48254.92925024328,31.285805959155795,1512.6175646557465,1022.3595967874181
2.85,2.8433506963827324,18.326789990342178,41820.012252728535,48261.147735674029,31.289577234569855,1512.5855152558684,1022.3672339453267
