% Device,10M100491
% File name,10M100491_20120222_070924
% Cast time (UTC),2012-02-22 07:09:24
% Cast time (local),2012-02-22 07:09:24
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),145.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-01
% Temperature calibration date,2011-02-01
% Pressure calibration date,2011-01-27
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14909214138006754,9.7271284495116177,38030.035153943063,54755.513703405406,35.204639865496958,1489.101320974381,1027.1594211476277
0.44999999999999996,0.44728001125269629,9.7375730425495348,38009.7434625305,54709.8431660337,35.173328181983464,1489.1057090292593,1027.1345374378759
0.74999999999999989,0.7454717504478634,9.7341434610819952,38002.407175851346,54704.684482044722,35.168975253499831,1489.0929551063155,1027.1330727895229
1.05,1.0436658255571738,9.721516514421781,37968.591315151738,54675.882747490694,35.146298622527162,1489.0246249779623,1027.1188365563035
1.35,1.3418641028127563,9.7208120126067055,37948.4768784887,54648.02618197706,35.12608949370329,1489.0023373354768,1027.1045159424698
1.65,1.6400710629483302,9.7183037783097745,37888.115124611482,54565.043509242583,35.066117470649061,1488.9249760506166,1027.0594160082844
1.9500000000000002,1.9382926092906243,9.7060332898030737,37804.234117753171,54463.490255540637,34.991404608587054,1488.7943447405171,1027.004437333291
2.25,2.236527469866914,9.705142599353092,37756.604914715739,54396.2682282993,34.942997432615172,1488.7369429695204,1026.968106008143
2.55,2.5347671341865019,9.7108998391615859,37766.200652851279,54401.068292448355,34.947152214633178,1488.7677565049519,1026.9717445536335
2.85,2.8330050829411029,9.7157034987146336,37780.813893272767,54414.587759501432,34.957407942896296,1488.8025720173741,1026.9803120542556
3.15,3.1312375320076495,9.7123808484287615,37812.272583771955,54465.109651911866,34.99294922219007,1488.8389085537758,1027.0100127759563
3.4499999999999997,3.42945845939323,9.713191110908511,37873.717283876278,54552.341734976042,35.055407245031375,1488.9230504341886,1027.0600591185025
3.75,3.727674634430941,9.7173003720741686,37855.929723603345,54520.267010815485,35.032906062230538,1488.9153481576902,1027.0431362346615
4.05,4.0258904862730152,9.7227152971176736,37884.867419139118,54553.434394406264,35.057332760201177,1488.9696698280518,1027.0626764425865
4.35,4.3240941715509,9.7283185361552373,37969.977958493088,54667.170135178014,35.139520552275847,1489.0952042628944,1027.1273355703115
