*
*Lat 31/24/37
*Lon 080/50/55
*Cast 1 22 Apr 2014 13:33:08 2264 4.13 received stop
*ConfigurationData:
*DeviceType=90745 UCTD
*Version=CTD
*SerialNumber=70200187
*Settings:
*ReplyFormat=plain text
*BlueToothBaudRate=9600
*CalibrationCoefficients:
*Temperature:
*CalDate=16-Jan-14
*Coefficients:
*A0=8.767728e-04
*A1=2.785097e-04
*A2=-2.099580e-06
*A3=1.930474e-07
*Conductivity:
*CalDate=16-Jan-14
*Coefficients:
*G=-9.887334e-01
*H=1.402299e-01
*I=-2.264862e-04
*J=3.930030e-05
*PCOR=-9.570000e-08
*TCOR=3.250000e-06
*SLOPE=1.000000e+00
*Pressure:
*CalDate=13-Jan-14
*SerialNumber=2143155
*Coefficients:
*A0=-2.172705e-01
*A1=8.779983e-03
*A2=6.893222e-11
*PTEMP A0=-9.035770e+01
*PTEMP A1=3.757729e-02
*PTEMP A2=8.382934e-07
*TC A0=5.257248e+05
*TC A1=-1.266389e+01
*TC A2=5.543477e-01
*TC B0=1.050162e+02
*TC B1=-2.284512e-03
*TC B2=0.000000e+00
*RANGE=2.900000e+03
*OFFSET=0.000000e+00
*sampling rate: 16 Hz
*scan# C[S/m]  T[degC]  P[dbar]
766  4.26125 17.620    0.313
767  4.25542 17.615    0.438
768  4.30437 17.610    0.563
769  3.98187 17.605    0.563
770  4.25375 17.598    0.469
771  4.28458 17.594    0.313
772  4.30354 17.595    0.250
773  4.30667 17.597    0.281
774  4.36667 17.600    0.188
775  4.36583 17.604    0.156
776  4.38333 17.607    0.219
777  4.39000 17.608    0.281
778  4.39062 17.610    0.375
779  4.35604 17.611    0.438
780  4.31792 17.612    0.563
781  4.26417 17.613    0.594
782  4.11042 17.612    0.625
783  4.16396 17.610    0.656
784  4.14250 17.608    0.656
785  4.10917 17.608    0.500
786  4.03021 17.615    0.375
787  3.98146 17.622    0.313
788  3.79792 17.632    0.250
789  2.71688 17.647    0.156
790  2.63583 17.658    0.188
791  2.02500 17.659    0.188
792  1.13792 17.650    0.125
793  1.50917 17.643    0.063
794  2.52250 17.637   -0.031
795  3.67708 17.629    0.000
796  4.06792 17.617    0.031
797  4.22917 17.608    0.031
798  4.26271 17.604    0.031
799  3.39687 17.606    0.063
800  1.90604 17.613    0.438
801  1.98333 17.614    0.406
802  2.75750 17.615    0.281
803  3.53771 17.616    0.188
804  3.48563 17.617    0.094
805  3.60833 17.620    0.125
806  3.96104 17.619    0.156
807  4.30604 17.613    0.156
808  4.26458 17.607    0.125
809  4.05812 17.604    0.031
810  3.07271 17.605    0.250
811  2.79813 17.607    0.500
812  2.34313 17.606    0.469
813  3.51583 17.603    0.406
814  4.18125 17.603    0.375
815  4.23396 17.605    0.406
816  4.18458 17.608    0.531
817  4.25292 17.608    0.719
818  3.33792 17.607    0.938
819  1.96917 17.608    0.969
820  1.14479 17.612    0.719
821  0.69542 17.614    0.625
822  0.49542 17.619    0.594
823  0.37792 17.621    0.531
824  0.38479 17.624    0.500
825  1.09687 17.625    0.500
826  4.04625 17.623    0.469
827  4.20271 17.621    0.375
828  4.30854 17.620    0.219
829  4.25104 17.617    0.094
830  3.36396 17.617    0.031
831  2.09729 17.619    0.063
832  1.80583 17.621    0.063
833  1.59417 17.623    0.063
834  1.57625 17.624    0.063
835  1.70604 17.626    0.063
836  1.02417 17.627    0.063
837  0.56875 17.629    0.063
838  0.43167 17.629    0.063
839  0.39292 17.631    0.031
840  0.30917 17.633    0.000
841  0.25646 17.637    0.000
842  0.22979 17.641    0.031
843  0.23188 17.645    0.000
844  0.18979 17.646    0.031
845  0.14271 17.644    0.125
846  0.08271 17.642    0.094
847  0.00500 17.640   -0.031
848  0.00000 17.639    0.000
849  0.00000 17.640    0.000
850  0.00000 17.640    0.000
851  4.17562 17.639    0.125
852  4.24875 17.637    0.375
853  4.29333 17.632    0.500
854  4.34833 17.628    0.563
855  4.32667 17.627    0.563
856  3.21583 17.628    0.531
857  2.19708 17.630    0.438
858  1.25792 17.631    0.344
859  1.12188 17.634    0.313
860  1.27417 17.635    0.469
861  1.05583 17.635    0.656
862  0.72417 17.637    0.781
863  0.64729 17.638    0.750
864  0.54271 17.638    0.594
865  0.40875 17.640    0.531
866  0.45063 17.642    0.469
867  0.40938 17.642    0.406
868  0.28833 17.641    0.438
869  0.26708 17.638    0.469
870  0.27938 17.632    0.531
871  0.22271 17.626    0.563
872  0.09500 17.622    0.500
873  0.00000 17.619    0.438
874  0.00000 17.608    0.469
875  0.00000 17.599    0.469
876  0.00000 17.596    0.469
877  0.00000 17.602    0.469
878  0.00000 17.610    0.531
879  0.00000 17.615    0.531
880  0.00000 17.616    0.500
881  0.00000 17.612    0.563
882  0.00000 17.605    0.656
883  0.00000 17.598    0.656
884  0.00000 17.593    0.594
885  0.00000 17.591    0.531
886  0.00000 17.591    0.531
887  0.00000 17.592    0.531
888  0.00000 17.592    0.500
889  0.00000 17.592    0.469
890  0.00000 17.593    0.469
891  0.84063 17.592    0.531
892  2.50333 17.591    0.625
893  2.60333 17.589    0.625
894  2.58146 17.588    0.656
895  2.59687 17.588    0.531
896  3.94271 17.590    0.438
897  3.81750 17.590    0.375
898  3.80021 17.587    0.344
899  3.82042 17.587    0.281
900  3.83771 17.588    0.313
901  3.90000 17.589    0.313
902  4.05500 17.590    0.281
903  4.04312 17.591    0.219
904  3.82542 17.595    0.344
905  3.95583 17.602    0.563
906  4.00729 17.603    0.594
907  3.98062 17.602    0.500
908  3.94792 17.600    0.406
909  3.95729 17.600    0.375
910  4.03396 17.602    0.438
911  3.15708 17.604    0.469
912  2.23521 17.608    0.531
913  2.15521 17.620    0.500
914  0.94042 17.641    0.563
915  0.46021 17.652    0.719
916  0.70625 17.652    0.750
917  1.41917 17.646    0.656
918  1.53021 17.619    0.531
919  1.53167 17.601    0.531
920  1.47875 17.596    0.500
921  1.46292 17.596    0.469
922  1.48958 17.599    0.438
923  1.49688 17.602    0.469
924  1.49958 17.604    0.500
925  1.50375 17.604    0.531
926  1.46438 17.603    0.531
927  1.47438 17.600    0.531
928  3.12167 17.595    0.469
929  3.38521 17.592    0.469
930  3.68937 17.591    0.531
931  3.91521 17.592    0.563
932  4.04729 17.594    0.469
933  4.16458 17.596    0.313
934  4.18208 17.597    0.281
935  4.30437 17.596    0.375
936  4.27854 17.593    0.500
937  3.83729 17.590    0.500
938  3.70333 17.593    0.406
939  3.33437 17.597    0.500
940  3.94271 17.596    0.500
941  3.80938 17.591    0.500
942  3.71937 17.587    0.375
943  3.65750 17.586    0.344
944  3.62625 17.586    0.344
945  3.66313 17.587    0.281
946  3.66750 17.587    0.313
947  3.68417 17.587    0.375
948  3.68250 17.587    0.406
949  3.81833 17.586    0.469
950  4.00937 17.588    0.406
951  3.68646 17.590    0.406
952  3.11938 17.593    0.469
953  3.52021 17.598    0.500
954  3.66479 17.595    0.438
955  3.49146 17.588    0.406
956  3.85687 17.584    0.500
957  3.95646 17.581    0.406
958  3.86208 17.580    0.344
959  3.98938 17.580    0.313
960  3.88687 17.580    0.250
961  3.45937 17.581    0.250
962  3.89104 17.581    0.250
963  3.94083 17.581    0.313
964  3.98875 17.581    0.406
965  3.87833 17.581    0.500
966  4.09437 17.580    0.438
967  4.08062 17.579    0.406
968  4.26667 17.579    0.313
969  4.37167 17.580    0.281
970  4.38375 17.581    0.250
971  4.33125 17.581    0.250
972  3.92396 17.583    0.250
973  3.70354 17.584    0.375
974  4.19583 17.584    0.344
975  4.31583 17.585    0.344
976  4.31854 17.585    0.313
977  4.36896 17.585    0.313
978  4.39937 17.586    0.313
979  4.39250 17.587    0.313
980  4.40063 17.588    0.375
981  4.40854 17.590    0.438
982  4.41521 17.592    0.500
983  4.40354 17.593    0.563
984  4.34625 17.591    0.594
985  4.10646 17.589    0.656
986  4.17979 17.588    0.625
987  4.38187 17.585    0.438
988  4.36958 17.583    0.313
989  4.34625 17.582    0.281
990  4.33750 17.583    0.219
991  4.34521 17.584    0.125
992  4.38875 17.584    0.125
993  4.39708 17.584    0.125
994  4.39937 17.585    0.125
995  4.40125 17.588    0.156
996  4.41187 17.592    0.125
997  4.41667 17.595    0.094
998  4.43583 17.596    0.125
999  4.41604 17.596    0.125
1000  4.40875 17.599    0.094
1001  4.41750 17.599    0.031
1002  4.43542 17.599    0.313
1003  4.42583 17.603    0.406
1004  4.42375 17.606    0.281
1005  4.43312 17.600    0.156
1006  4.42729 17.598    0.125
1007  4.44229 17.602    0.094
1008  4.41167 17.606    0.094
1009  4.37958 17.608    0.281
1010  4.37646 17.610    0.375
1011  4.41167 17.610    0.281
1012  4.37458 17.612    0.125
1013  4.42000 17.613    0.031
1014  4.42062 17.609    0.063
1015  4.41333 17.607    0.094
1016  4.40083 17.605    0.219
1017  4.41521 17.602    0.219
1018  4.41812 17.602    0.094
1019  4.41812 17.602    0.094
1020  4.41458 17.600    0.063
1021  4.42000 17.600    0.063
1022  4.41750 17.600    0.281
1023  4.41375 17.598    0.438
1024  4.41792 17.598    0.375
1025  4.42271 17.598    0.188
1026  4.41937 17.597    0.094
1027  4.42937 17.597    0.219
1028  4.43250 17.594    0.219
1029  4.43125 17.592    0.125
1030  4.43354 17.592    0.125
1031  4.43250 17.592    0.188
1032  4.42750 17.589    0.219
1033  4.42896 17.587    0.188
1034  4.43937 17.586    0.125
1035  4.42146 17.586    0.063
1036  4.39542 17.585    0.063
1037  4.40604 17.584    0.094
1038  4.41062 17.583    0.125
1039  4.40562 17.584    0.156
1040  4.38708 17.584    0.250
1041  4.39292 17.584    0.313
1042  4.39437 17.585    0.344
1043  4.39500 17.586    0.313
1044  4.39875 17.587    0.125
1045  4.40083 17.587    0.063
1046  4.40333 17.587    0.094
1047  4.41771 17.587    0.063
1048  4.43271 17.588    0.031
1049  4.43354 17.589   -0.063
1050  4.42271 17.590    0.125
1051  4.31500 17.588    0.531
1052  4.21229 17.586    0.531
1053  4.24792 17.586    0.375
1054  4.27396 17.587    0.344
1055  4.30729 17.586    0.281
1056  4.42062 17.589    0.219
1057  4.43208 17.592    0.094
1058  4.43146 17.594    0.063
1059  4.43104 17.592    0.094
1060  4.43312 17.589    0.063
1061  4.36812 17.587    0.031
1062  4.01292 17.586    0.313
1063  3.57562 17.585    0.594
1064  3.67896 17.584    0.438
1065  3.99458 17.584    0.281
1066  3.62625 17.583    0.188
1067  3.59333 17.583    0.125
1068  4.23312 17.584    0.125
1069  4.21500 17.584    0.094
1070  4.23604 17.584    0.063
1071  4.32979 17.582    0.063
1072  4.35396 17.582    0.031
1073  4.35917 17.582   -0.031
1074  4.36354 17.581    0.156
1075  4.34625 17.581    0.469
1076  4.35062 17.582    0.656
1077  4.35875 17.582    0.625
1078  4.34292 17.581    0.531
1079  4.36479 17.581    0.438
1080  4.38167 17.580    0.344
1081  4.37562 17.578    0.219
1082  4.38583 17.577    0.156
1083  4.38312 17.576    0.156
1084  4.40667 17.575    0.156
1085  4.41000 17.575    0.125
1086  4.40750 17.575    0.094
1087  4.40271 17.575    0.094
1088  4.40208 17.576    0.125
1089  4.41937 17.577    0.094
1090  4.42104 17.578    0.156
1091  4.42271 17.577    0.250
1092  4.42771 17.576    0.219
1093  4.43062 17.575    0.188
1094  4.42896 17.574    0.250
1095  4.43125 17.573    0.344
1096  4.43188 17.573    0.344
1097  4.43208 17.573    0.250
1098  4.43208 17.574    0.125
1099  4.41667 17.574    0.063
1100  4.36062 17.575    0.125
1101  4.34937 17.576    0.125
1102  4.38208 17.577    0.063
1103  4.40083 17.577    0.063
1104  4.40063 17.577    0.250
1105  4.40354 17.578    0.313
1106  4.40021 17.579    0.125
1107  4.40479 17.579    0.031
1108  4.39521 17.581    0.063
1109  4.39104 17.584    0.031
1110  4.38979 17.586    0.031
1111  4.35021 17.587    0.313
1112  4.36312 17.588    0.406
1113  4.24562 17.592    0.219
1114  4.06667 17.593    0.031
1115  4.22875 17.592    0.063
1116  4.27833 17.591    0.063
1117  4.16437 17.592    0.063
1118  4.20729 17.594    0.031
1119  4.32062 17.594    0.063
1120  4.27479 17.594    0.313
1121  4.28187 17.595    0.406
1122  4.28937 17.597    0.344
1123  4.09333 17.597    0.188
1124  3.97833 17.596   -0.031
1125  4.06750 17.595    0.031
1126  4.26625 17.597    0.031
1127  4.27771 17.597    0.031
1128  4.27625 17.597    0.063
1129  4.27083 17.599    0.063
1130  4.26833 17.599    0.125
1131  4.32437 17.601    0.344
1132  4.37750 17.604    0.438
1133  4.39604 17.608    0.438
1134  4.34167 17.614    0.406
1135  3.94854 17.618    0.188
1136  3.99542 17.619    0.000
1137  3.91292 17.616    0.063
1138  4.28083 17.607    0.031
1139  4.36896 17.601    0.031
1140  4.40104 17.601    0.031
1141  4.41187 17.602    0.063
1142  4.41271 17.602    0.063
1143  4.41500 17.600    0.125
1144  4.38250 17.601    0.188
1145  4.19396 17.601    0.250
1146  4.03250 17.601    0.406
1147  3.95083 17.607    0.563
1148  3.94333 17.613    0.500
1149  3.95125 17.609    0.406
1150  4.21625 17.603    0.344
1151  4.39083 17.602    0.281
1152  4.40729 17.602    0.125
1153  4.41333 17.606    0.000
1154  4.41187 17.608    0.063
1155  4.34833 17.608    0.063
1156  4.36958 17.605    0.094
1157  4.41187 17.601    0.063
1158  4.41875 17.600    0.031
1159  4.36979 17.603    0.094
1160  4.14771 17.604    0.438
1161  4.05208 17.601    0.531
1162  4.02187 17.604    0.500
1163  4.14375 17.603    0.469
1164  4.24271 17.602    0.438
1165  4.39333 17.601    0.344
1166  4.42833 17.600    0.219
1167  4.43062 17.601    0.125
1168  4.42896 17.600    0.031
1169  4.42896 17.601    0.063
1170  4.42937 17.603    0.094
1171  4.41896 17.606    0.094
1172  4.41125 17.612    0.063
1173  4.41354 17.616    0.031
1174  4.37750 17.613    0.281
1175  4.30021 17.604    0.563
1176  4.29000 17.597    0.500
1177  4.31146 17.594    0.438
1178  4.34583 17.597    0.313
1179  4.38292 17.600    0.188
1180  4.40083 17.598    0.031
1181  4.39771 17.596    0.000
1182  4.39917 17.598    0.031
1183  4.38958 17.601    0.063
1184  4.39312 17.601    0.031
1185  4.37146 17.599    0.000
1186  4.05542 17.597    0.094
1187  3.49083 17.598    0.469
1188  3.73625 17.600    0.469
1189  3.44292 17.600    0.219
1190  3.39833 17.598    0.063
1191  4.02917 17.597    0.031
1192  4.06021 17.596    0.031
1193  4.14771 17.597    0.031
1194  4.10417 17.598    0.125
1195  4.06583 17.598    0.313
1196  4.19562 17.598    0.406
1197  4.36500 17.596    0.250
1198  4.37604 17.596    0.125
1199  4.38500 17.598    0.094
1200  4.36479 17.597    0.156
1201  4.38521 17.594    0.125
1202  4.39500 17.594    0.063
1203  4.40312 17.594    0.000
1204  4.39771 17.592    0.031
1205  4.40167 17.592    0.156
1206  4.34437 17.593    0.313
1207  4.26937 17.592    0.250
1208  4.25375 17.589    0.094
1209  4.26437 17.587    0.063
1210  4.27479 17.587    0.125
1211  4.26354 17.587    0.375
1212  4.31792 17.587    0.250
1213  4.35875 17.587    0.094
1214  4.36104 17.587    0.063
1215  4.32979 17.587    0.063
1216  4.34583 17.588    0.031
1217  4.33042 17.588    0.031
1218  4.28042 17.587    0.031
1219  4.26125 17.585    0.063
1220  4.24042 17.584    0.031
1221  4.27458 17.583    0.031
1222  4.30021 17.582    0.000
1223  4.25646 17.582    0.031
1224  4.17604 17.582    0.031
1225  3.36458 17.583    0.063
1226  2.45146 17.585    0.031
1227  2.19958 17.587    0.031
1228  1.04667 17.588    0.031
1229  0.38208 17.590    0.000
1230  0.21958 17.590    0.063
1231  3.50875 17.588    0.250
1232  4.13729 17.587    0.438
1233  4.31292 17.585    0.500
1234  4.38396 17.583    0.406
1235  4.40854 17.581    0.375
1236  4.41583 17.579    0.281
1237  4.42042 17.579    0.281
1238  4.41833 17.580    0.313
1239  4.42062 17.580    0.344
1240  4.42062 17.579    0.438
1241  4.41792 17.579    0.469
1242  4.43104 17.580    0.469
1243  4.43750 17.580    0.344
1244  4.43729 17.580    0.188
1245  4.37771 17.578    0.063
1246  4.30229 17.578    0.063
1247  4.26896 17.578    0.031
1248  4.32083 17.578    0.031
1249  4.29458 17.579    0.063
1250  4.26771 17.581    0.188
1251  4.24375 17.581    0.344
1252  4.28771 17.582    0.250
1253  4.28667 17.583    0.125
1254  4.30542 17.583   -0.031
1255  4.33583 17.583    0.125
1256  4.25417 17.584    0.094
1257  4.18792 17.585    0.031
1258  3.87771 17.585   -0.031
1259  2.50083 17.585    0.219
1260  1.75875 17.587    0.375
1261  1.79917 17.587    0.406
1262  3.76771 17.588    0.313
1263  3.62500 17.590    0.125
1264  3.76792 17.591    0.031
1265  3.71604 17.592    0.031
1266  3.86417 17.591    0.031
1267  4.30250 17.592    0.031
1268  4.30542 17.592    0.031
1269  4.22000 17.593    0.000
1270  3.28083 17.592   -0.063
1271  2.60687 17.593    0.219
1272  1.67646 17.594    0.406
1273  1.87458 17.595    0.406
1274  4.11854 17.600    0.313
1275  4.13854 17.605    0.219
1276  4.22125 17.609    0.125
1277  4.10292 17.608    0.000
1278  3.71229 17.607    0.031
1279  2.88229 17.607    0.063
1280  3.29917 17.607    0.031
1281  3.64625 17.605    0.031
1282  4.26479 17.604    0.031
1283  4.20479 17.604    0.063
1284  3.96042 17.609    0.031
1285  3.82354 17.613    0.031
1286  2.82188 17.614    0.031
1287  2.71375 17.615    0.188
1288  1.51354 17.616    0.344
1289  1.17083 17.616    0.594
1290  0.78688 17.614    0.750
1291  0.59625 17.612    0.844
1292  0.47375 17.613    0.750
1293  0.35833 17.613    0.625
1294  0.35604 17.614    0.688
1295  0.63063 17.614    0.469
1296  0.76500 17.615    0.063
1297  0.91417 17.618    0.313
1298  2.06896 17.621    0.500
1299  4.27687 17.619    0.438
1300  4.26562 17.619    0.188
1301  2.99292 17.621    0.000
1302  1.66750 17.622    0.031
1303  1.31375 17.623    0.031
1304  1.07000 17.624    0.031
1305  2.27500 17.624    0.031
1306  2.31562 17.627    0.031
1307  1.26146 17.629    0.031
1308  0.87667 17.628    0.031
1309  1.21729 17.630    0.031
1310  1.39271 17.632    0.063
1311  1.47729 17.631    0.063
1312  1.80771 17.623    0.063
1313  0.95167 17.614    0.094
1314  2.15104 17.609    0.125
1315  1.81021 17.608    0.125
1316  4.15208 17.607    0.031
1317  4.11687 17.606    0.031
1318  3.58792 17.607    0.031
1319  2.82417 17.608    0.031
1320  3.73125 17.608    0.031
1321  4.16812 17.608    0.031
1322  4.05250 17.611    0.031
1323  3.91021 17.613    0.000
1324  3.78229 17.614    0.000
1325  2.60562 17.615    0.031
1326  2.30104 17.616    0.031
1327  2.21729 17.616    0.031
1328  2.07125 17.616    0.000
1329  1.97875 17.615   -0.063
1330  1.86500 17.614   -0.031
1331  1.32500 17.612    0.063
1332  2.00042 17.610    0.219
1333  2.83896 17.612    0.188
1334  3.90458 17.614    0.188
1335  4.20083 17.616    0.406
1336  4.23875 17.617    0.563
1337  4.26729 17.617    0.750
1338  4.29042 17.616    0.719
1339  4.30500 17.614    0.719
1340  4.29771 17.613    0.438
1341  4.27729 17.614    0.094
1342  4.07937 17.615    0.031
1343  3.74396 17.615    0.031
1344  3.45021 17.616    0.031
1345  3.52750 17.618    0.031
1346  3.74167 17.610    0.063
1347  3.63708 17.595    0.000
1348  3.11417 17.587    0.000
1349  2.64687 17.585    0.000
1350  2.36063 17.585    0.000
1351  2.12125 17.586    0.000
1352  1.93458 17.586    0.000
1353  0.98917 17.585   -0.031
1354  0.91104 17.583    0.031
1355  0.78896 17.586    0.219
1356  0.56167 17.591    0.344
1357  0.34125 17.594    0.500
1358  2.35958 17.592    0.719
1359  1.41125 17.590    0.688
1360  0.86958 17.590    0.281
1361  0.94667 17.595    0.188
1362  1.08271 17.596    0.344
1363  1.10667 17.597    0.375
1364  1.08646 17.598    0.406
1365  0.82313 17.601    0.375
1366  0.63188 17.606    0.281
1367  0.61250 17.609    0.281
1368  0.61750 17.607    0.125
1369  0.40625 17.602   -0.031
1370  2.76333 17.595    0.031
1371  4.19458 17.585    0.063
1372  4.19187 17.578    0.031
1373  4.05792 17.575    0.219
1374  2.43646 17.577    0.563
1375  0.98813 17.580    0.531
1376  2.05229 17.583    0.344
1377  2.86021 17.586    0.250
1378  3.22708 17.586    0.094
1379  3.53688 17.586    0.000
1380  3.98333 17.585    0.031
1381  4.18937 17.583    0.063
1382  4.20417 17.580    0.125
1383  4.16312 17.579    0.531
1384  4.17583 17.577    0.750
1385  4.18500 17.577    0.625
1386  4.22937 17.577    0.531
1387  4.34771 17.576    0.406
1388  4.37458 17.576    0.344
1389  4.37312 17.576    0.281
1390  4.36292 17.577    0.156
1391  4.38354 17.579    0.094
1392  4.34271 17.580    0.063
1393  4.25687 17.581    0.031
1394  4.29312 17.582    0.063
1395  4.33958 17.583    0.094
1396  4.34937 17.581    0.063
1397  4.29375 17.579    0.031
1398  4.07833 17.577    0.000
1399  3.96479 17.577   -0.031
1400  3.96521 17.577    0.094
1401  4.03125 17.577    0.219
1402  4.03833 17.577    0.219
1403  4.14458 17.578    0.219
1404  4.06062 17.578    0.250
1405  4.33167 17.579    0.281
1406  4.35312 17.579    0.281
1407  4.34896 17.580    0.375
1408  4.35271 17.580    0.469
1409  3.65479 17.581    0.375
1410  2.73458 17.581    0.188
1411  2.83063 17.581    0.188
1412  4.22042 17.581    0.156
1413  3.81312 17.580    0.156
1414  3.70438 17.579    0.188
1415  3.85271 17.578    0.156
1416  3.90063 17.579    0.219
1417  3.94000 17.579    0.188
1418  3.98958 17.580    0.156
1419  4.01229 17.581    0.094
1420  4.16604 17.581    0.031
1421  4.15771 17.581    0.031
1422  4.17854 17.581    0.125
1423  4.02062 17.580    0.344
1424  3.68875 17.580    0.594
1425  3.70854 17.579    0.688
1426  4.04146 17.579    0.594
1427  4.14792 17.578    0.344
1428  4.20875 17.579    0.281
1429  4.20521 17.580    0.250
1430  4.30875 17.580    0.188
1431  4.34292 17.581    0.156
1432  4.34896 17.582    0.094
1433  4.34750 17.581   -0.031
1434  4.34375 17.581   -0.063
1435  3.99771 17.583    0.031
1436  3.81979 17.585    0.031
1437  3.63125 17.588    0.031
1438  3.65667 17.590    0.031
1439  3.92521 17.593    0.031
1440  3.22083 17.595    0.031
1441  2.17500 17.598    0.031
1442  2.05875 17.601    0.031
1443  3.56750 17.601    0.031
1444  4.06708 17.593    0.031
1445  4.27812 17.590    0.031
1446  4.32458 17.591    0.000
1447  4.31125 17.587   -0.063
1448  4.30604 17.583    0.031
1449  4.28479 17.582    0.438
1450  4.26500 17.582    0.500
1451  4.18271 17.583    0.406
1452  4.21479 17.584    0.250
1453  4.25583 17.586    0.156
1454  4.23625 17.588    0.156
1455  4.21437 17.588    0.094
1456  4.19896 17.587    0.031
1457  3.82354 17.586    0.000
1458  3.11625 17.586    0.000
1459  2.83063 17.584    0.031
1460  2.99771 17.583    0.031
1461  2.77792 17.582    0.031
1462  3.23604 17.583    0.031
1463  4.05250 17.582    0.031
1464  4.16958 17.581    0.031
1465  4.11792 17.582    0.031
1466  4.08750 17.583    0.000
1467  4.17875 17.582    0.031
1468  4.33625 17.581    0.031
1469  4.34729 17.581    0.063
1470  4.31042 17.580   -0.031
1471  4.23854 17.579    0.000
1472  4.16146 17.579    0.281
1473  4.15333 17.577    0.406
1474  3.21625 17.577    0.281
1475  2.06938 17.579    0.094
1476  4.01396 17.580    0.063
1477  2.50771 17.580    0.063
1478  4.18396 17.579    0.031
1479  3.95292 17.578   -0.063
1480  3.86417 17.577   -0.125
1481  3.93937 17.577    0.156
1482  4.26458 17.577    0.500
1483  4.35917 17.576    0.594
1484  4.31083 17.575    0.406
1485  3.37854 17.574    0.313
1486  2.43292 17.576    0.219
1487  2.01604 17.577    0.063
1488  3.27604 17.578    0.031
1489  3.87188 17.578    0.031
1490  3.48792 17.577    0.031
1491  3.87479 17.575    0.031
1492  3.86938 17.575   -0.063
1493  3.90750 17.576    0.031
1494  3.89375 17.576    0.219
1495  4.23646 17.576    0.344
1496  4.38312 17.575    0.438
1497  4.41458 17.575    0.500
1498  4.41896 17.574    0.469
1499  4.42042 17.574    0.375
1500  4.41521 17.573    0.156
1501  4.41042 17.573    0.031
1502  4.41333 17.573    0.000
1503  4.40208 17.574    0.000
1504  4.37229 17.575    0.000
1505  4.31562 17.577    0.063
1506  4.25396 17.578    0.344
1507  4.32125 17.576    0.656
1508  4.31000 17.575    0.594
1509  4.30271 17.575    0.094
1510  4.14500 17.575    0.000
1511  3.83917 17.575    0.031
1512  2.77542 17.575    0.031
1513  1.99521 17.578   -0.031
1514  2.29813 17.580    0.031
1515  1.96375 17.581    0.063
1516  1.85479 17.584    0.188
1517  2.96208 17.588    0.031
1518  4.19271 17.587    0.000
1519  4.31375 17.583    0.031
1520  4.26437 17.580    0.031
1521  3.40292 17.579    0.000
1522  2.97729 17.579   -0.063
1523  2.91687 17.579    0.063
1524  3.98271 17.579    0.344
1525  3.91063 17.580    0.438
1526  3.14146 17.581    0.250
1527  2.81792 17.582    0.031
1528  3.75021 17.583   -0.031
1529  4.21875 17.581    0.000
1530  4.32833 17.580    0.031
1531  4.31292 17.579    0.031
1532  4.11521 17.578    0.031
1533  3.26896 17.578    0.031
1534  2.15708 17.579   -0.031
1535  2.21771 17.581   -0.031
1536  3.99833 17.583    0.188
1537  4.23250 17.584    0.406
1538  4.27771 17.584    0.594
1539  4.23604 17.584    0.719
1540  3.16125 17.582    0.469
1541  1.92042 17.581    0.063
1542  2.46083 17.582    0.031
1543  4.16958 17.584    0.031
1544  4.09875 17.584    0.031
1545  3.47458 17.585    0.031
1546  2.88125 17.586    0.031
1547  2.90667 17.587    0.031
1548  3.78813 17.590    0.219
1549  4.28583 17.588    0.594
1550  4.36896 17.587    0.719
1551  4.23104 17.584    0.594
1552  3.45646 17.582    0.156
1553  3.62188 17.582    0.031
1554  3.63833 17.583    0.031
1555  2.72625 17.584    0.031
1556  2.95667 17.584    0.125
1557  2.60125 17.584    0.375
1558  2.45250 17.584    0.344
1559  2.57938 17.586    0.031
1560  2.01479 17.586    0.000
1561  4.05729 17.584    0.031
1562  4.01208 17.583    0.063
1563  3.58292 17.582    0.063
1564  3.06938 17.583    0.125
1565  3.50250 17.584    0.219
1566  2.96771 17.583    0.375
1567  2.67354 17.581    0.188
1568  3.57083 17.581   -0.031
1569  4.17250 17.581    0.031
1570  4.24438 17.581    0.063
1571  4.03104 17.579    0.000
1572  2.94812 17.579    0.000
1573  2.98688 17.579    0.000
1574  3.42271 17.580    0.188
1575  3.90333 17.581    0.281
1576  3.89500 17.581    0.094
1577  3.95250 17.581    0.031
1578  3.97417 17.580    0.031
1579  4.04292 17.579    0.000
1580  3.97979 17.578    0.031
1581  4.07729 17.577    0.188
1582  4.18188 17.576    0.250
1583  4.15167 17.576    0.156
1584  4.17604 17.576    0.063
1585  4.17375 17.577    0.031
1586  4.17812 17.577    0.031
1587  4.20354 17.577    0.000
1588  4.26708 17.577    0.031
1589  4.33271 17.577    0.281
1590  4.37854 17.576    0.406
1591  4.32021 17.577    0.125
1592  4.34167 17.577   -0.031
1593  4.39500 17.577    0.031
1594  4.38062 17.575    0.031
1595  3.71208 17.574    0.063
1596  3.51833 17.575    0.219
1597  3.06667 17.575    0.219
1598  2.17292 17.576    0.000
1599  3.91687 17.577    0.031
1600  4.25854 17.577    0.063
1601  4.38604 17.576    0.031
1602  4.38000 17.575    0.063
1603  4.36021 17.574    0.031
1604  4.37250 17.573    0.031
1605  4.37833 17.573    0.250
1606  4.21583 17.574    0.313
1607  4.29979 17.573    0.094
1608  4.29000 17.572    0.000
1609  4.31896 17.573    0.063
1610  4.38667 17.574    0.125
1611  4.38229 17.574    0.125
1612  4.31625 17.574    0.063
1613  4.33875 17.573    0.094
