*PS118_3-1
*Lat -63.420
*Lon -56.615
*Cast 3 21 Feb 2019 22:14:27 4800 4.14 normal end
*ConfigurationData:
*DeviceType=90745 UCTD
*Version=CTD
*SerialNumber=70200240
*Settings:
*ReplyFormat=plain text
*BlueToothBaudRate=9600
*CalibrationCoefficients:
*Temperature:
*CalDate=22-Jun-18
*Coefficients:
*A0=8.159933e-04
*A1=2.842136e-04
*A2=-2.477711e-06
*A3=2.057825e-07
*Conductivity:
*CalDate=22-Jun-18
*Coefficients:
*G=-9.785558e-01
*H=1.515467e-01
*I=-3.345472e-04
*J=5.199529e-05
*PCOR=-9.570000e-08
*TCOR=3.250000e-06
*SLOPE=1.000000e+00
*Pressure:
*CalDate=21-Jun-18
*SerialNumber=4632589
*Coefficients:
*A0=7.164904e-01
*A1=8.943803e-03
*A2=4.003241e-11
*PTEMP A0=-9.068422e+01
*PTEMP A1=3.690209e-02
*PTEMP A2=1.012678e-06
*TC A0=5.255498e+05
*TC A1=-6.376865e+00
*TC A2=4.055661e-01
*TC B0=1.031837e+02
*TC B1=-3.724696e-03
*TC B2=0.000000e+00
*RANGE=2.900000e+03
*OFFSET=0.000000e+00
*sampling rate: 16 Hz
*scan# C[S/m]  T[degC]  P[dbar]
757  2.80354 -0.783  196.719
758  2.80333 -0.783  197.000
759  2.80333 -0.785  197.219
760  2.80333 -0.786  197.438
761  2.80333 -0.786  197.625
762  2.80354 -0.787  197.875
763  2.80333 -0.787  198.156
764  2.80333 -0.787  198.406
765  2.80333 -0.787  198.625
766  2.80333 -0.787  198.844
767  2.80333 -0.786  199.188
768  2.80333 -0.786  199.500
769  2.80333 -0.786  199.719
770  2.80354 -0.786  199.938
771  2.80354 -0.786  200.125
772  2.80333 -0.786  200.344
773  2.80333 -0.787  200.563
774  2.80354 -0.787  200.813
775  2.80354 -0.787  201.031
776  2.80354 -0.787  201.344
777  2.80354 -0.787  201.625
778  2.80333 -0.787  201.906
779  2.80354 -0.788  202.125
780  2.80333 -0.788  202.344
781  2.80354 -0.788  202.563
782  2.80333 -0.789  202.781
783  2.80333 -0.789  203.063
784  2.80354 -0.789  203.313
785  2.80354 -0.789  203.625
786  2.80354 -0.788  203.969
787  2.80354 -0.789  204.188
788  2.80354 -0.789  204.375
789  2.80354 -0.789  204.531
790  2.80354 -0.789  204.781
791  2.80333 -0.789  205.000
792  2.80292 -0.790  205.313
793  2.80271 -0.794  205.594
794  2.80271 -0.798  205.844
795  2.80292 -0.800  206.094
796  2.80292 -0.800  206.281
797  2.80292 -0.799  206.531
798  2.80312 -0.799  206.781
799  2.80292 -0.799  207.031
800  2.80292 -0.799  207.375
801  2.80271 -0.800  207.656
802  2.80271 -0.801  207.875
803  2.80271 -0.805  208.063
804  2.80271 -0.805  208.281
805  2.80250 -0.805  208.563
806  2.80229 -0.807  208.813
807  2.80250 -0.810  209.156
808  2.80250 -0.810  209.375
809  2.80188 -0.808  209.563
810  2.80167 -0.812  209.781
811  2.80146 -0.820  210.000
812  2.80167 -0.824  210.250
813  2.80146 -0.826  210.594
814  2.80146 -0.826  210.844
815  2.80208 -0.826  211.063
816  2.80229 -0.823  211.250
817  2.80208 -0.817  211.469
818  2.80167 -0.816  211.781
819  2.80188 -0.820  212.063
820  2.80229 -0.822  212.344
821  2.80229 -0.819  212.531
822  2.80167 -0.815  212.781
823  2.80229 -0.818  213.000
824  2.80250 -0.818  213.281
825  2.80250 -0.815  213.594
826  2.80229 -0.813  213.813
827  2.80229 -0.813  214.031
828  2.80208 -0.815  214.219
829  2.80229 -0.817  214.438
830  2.80208 -0.816  214.750
831  2.80229 -0.817  215.031
832  2.80229 -0.818  215.219
833  2.80208 -0.818  215.469
834  2.80208 -0.819  215.656
835  2.80208 -0.820  215.969
836  2.80208 -0.821  216.281
837  2.80188 -0.822  216.500
838  2.80188 -0.823  216.656
839  2.80167 -0.825  216.906
840  2.80167 -0.828  217.156
841  2.80167 -0.829  217.500
842  2.80167 -0.831  217.719
843  2.80146 -0.831  217.969
844  2.80146 -0.831  218.156
845  2.80125 -0.832  218.375
846  2.80125 -0.834  218.719
847  2.80125 -0.836  218.938
848  2.80125 -0.836  219.063
849  2.80167 -0.836  219.313
850  2.80188 -0.834  219.625
851  2.80188 -0.830  219.906
852  2.80167 -0.829  220.094
853  2.80167 -0.830  220.281
854  2.80167 -0.831  220.500
855  2.80167 -0.831  220.844
856  2.80167 -0.832  221.031
857  2.80208 -0.831  221.219
858  2.80292 -0.829  221.438
859  2.80292 -0.820  221.750
860  2.80271 -0.814  222.031
861  2.80292 -0.813  222.250
862  2.80271 -0.813  222.438
863  2.80312 -0.813  222.688
864  2.80292 -0.813  223.000
865  2.80229 -0.811  223.219
866  2.80229 -0.815  223.406
867  2.80250 -0.820  223.656
868  2.80208 -0.821  223.969
869  2.80229 -0.823  224.219
870  2.80188 -0.824  224.406
871  2.80167 -0.827  224.594
872  2.80188 -0.831  224.906
873  2.80188 -0.833  225.188
874  2.80188 -0.832  225.438
875  2.80208 -0.830  225.625
876  2.80208 -0.830  225.875
877  2.80167 -0.830  226.188
878  2.80146 -0.832  226.438
879  2.80188 -0.837  226.625
880  2.80167 -0.836  226.844
881  2.80125 -0.836  227.125
882  2.80104 -0.839  227.438
883  2.80125 -0.845  227.688
884  2.80083 -0.846  227.938
885  2.80083 -0.846  228.125
886  2.80083 -0.849  228.406
887  2.80125 -0.850  228.750
888  2.80167 -0.847  228.969
889  2.80188 -0.842  229.188
890  2.80167 -0.838  229.406
891  2.80167 -0.836  229.656
892  2.80104 -0.837  230.000
893  2.80188 -0.842  230.281
894  2.80167 -0.841  230.438
895  2.80146 -0.838  230.656
896  2.80146 -0.839  230.906
897  2.80167 -0.840  231.219
898  2.80188 -0.840  231.531
899  2.80188 -0.839  231.750
900  2.80167 -0.837  231.969
901  2.80167 -0.837  232.188
902  2.80188 -0.839  232.469
903  2.80188 -0.840  232.813
904  2.80188 -0.838  233.063
905  2.80146 -0.838  233.250
906  2.80167 -0.841  233.531
907  2.80167 -0.843  233.750
908  2.80167 -0.842  234.000
909  2.80167 -0.841  234.313
910  2.80167 -0.840  234.594
911  2.80188 -0.841  234.844
912  2.80167 -0.841  235.000
913  2.80188 -0.840  235.250
914  2.80167 -0.840  235.469
915  2.80125 -0.841  235.844
916  2.80125 -0.845  236.125
917  2.80125 -0.848  236.375
918  2.80104 -0.849  236.563
919  2.80125 -0.850  236.781
920  2.80146 -0.851  237.000
921  2.80104 -0.849  237.313
922  2.80125 -0.849  237.656
923  2.80125 -0.850  237.906
924  2.80146 -0.851  238.125
925  2.80167 -0.849  238.344
926  2.80188 -0.847  238.594
927  2.80188 -0.843  238.813
928  2.80188 -0.842  239.063
929  2.80188 -0.842  239.469
930  2.80208 -0.842  239.750
931  2.80208 -0.841  239.938
932  2.80208 -0.839  240.125
933  2.80208 -0.839  240.375
934  2.80208 -0.838  240.625
935  2.80208 -0.838  240.875
936  2.80188 -0.839  241.188
937  2.80188 -0.841  241.500
938  2.80208 -0.842  241.719
939  2.80188 -0.842  241.906
940  2.80167 -0.843  242.125
941  2.80188 -0.845  242.406
942  2.80125 -0.846  242.594
943  2.80125 -0.849  242.875
944  2.80146 -0.853  243.219
945  2.80146 -0.854  243.531
946  2.80146 -0.852  243.719
947  2.80146 -0.852  243.938
948  2.80146 -0.852  244.156
949  2.80146 -0.852  244.406
950  2.80146 -0.851  244.625
951  2.80167 -0.851  244.875
952  2.80146 -0.851  245.125
953  2.80146 -0.851  245.531
954  2.80146 -0.852  245.750
955  2.80167 -0.852  245.938
956  2.80167 -0.851  246.156
957  2.80146 -0.851  246.375
958  2.80167 -0.852  246.594
959  2.80167 -0.851  246.844
960  2.80167 -0.851  247.063
961  2.80167 -0.850  247.344
962  2.80167 -0.850  247.656
963  2.80167 -0.850  247.969
964  2.80167 -0.851  248.156
965  2.80167 -0.851  248.375
966  2.80167 -0.851  248.563
967  2.80167 -0.851  248.781
968  2.80167 -0.851  249.031
969  2.80167 -0.851  249.250
970  2.80188 -0.851  249.500
971  2.80167 -0.851  249.750
972  2.80167 -0.851  250.094
973  2.80188 -0.852  250.375
974  2.80167 -0.852  250.625
975  2.80188 -0.852  250.813
976  2.80188 -0.851  251.000
977  2.80188 -0.851  251.219
978  2.80188 -0.850  251.438
979  2.80208 -0.850  251.688
980  2.80188 -0.850  251.969
981  2.80208 -0.849  252.188
982  2.80208 -0.849  252.438
983  2.80208 -0.849  252.625
984  2.80229 -0.849  252.906
985  2.80208 -0.848  253.188
986  2.80229 -0.847  253.500
987  2.80229 -0.847  253.719
988  2.80229 -0.846  253.938
989  2.80229 -0.846  254.156
990  2.80250 -0.845  254.344
991  2.80250 -0.845  254.531
992  2.80250 -0.845  254.719
993  2.80250 -0.845  254.969
994  2.80250 -0.845  255.219
995  2.80250 -0.845  255.438
996  2.80250 -0.845  255.656
997  2.80250 -0.845  255.938
998  2.80229 -0.846  256.094
999  2.80250 -0.846  256.344
1000  2.80250 -0.845  256.531
1001  2.80250 -0.845  256.812
1002  2.80250 -0.846  257.125
1003  2.80250 -0.846  257.375
1004  2.80250 -0.846  257.562
1005  2.80250 -0.846  257.750
1006  2.80250 -0.846  257.906
1007  2.80250 -0.846  258.062
1008  2.80250 -0.846  258.312
1009  2.80250 -0.846  258.531
1010  2.80250 -0.846  258.750
1011  2.80250 -0.846  259.031
1012  2.80250 -0.846  259.312
1013  2.80250 -0.846  259.531
1014  2.80250 -0.846  259.781
1015  2.80250 -0.846  260.031
1016  2.80250 -0.846  260.219
1017  2.80250 -0.846  260.437
1018  2.80271 -0.846  260.656
1019  2.80271 -0.845  260.875
1020  2.80271 -0.845  261.125
1021  2.80271 -0.845  261.531
1022  2.80250 -0.846  261.781
1023  2.80271 -0.846  261.937
1024  2.80271 -0.846  262.094
1025  2.80271 -0.846  262.281
1026  2.80271 -0.846  262.500
1027  2.80271 -0.845  262.750
1028  2.80271 -0.846  263.000
1029  2.80271 -0.846  263.281
1030  2.80271 -0.846  263.531
1031  2.80292 -0.846  263.750
1032  2.80271 -0.846  263.969
1033  2.80250 -0.846  264.219
1034  2.80250 -0.848  264.469
1035  2.80250 -0.848  264.719
1036  2.80250 -0.849  265.000
1037  2.80250 -0.849  265.312
1038  2.80250 -0.849  265.562
1039  2.80250 -0.849  265.719
1040  2.80271 -0.849  265.906
1041  2.80271 -0.849  266.125
1042  2.80271 -0.848  266.312
1043  2.80271 -0.848  266.625
1044  2.80271 -0.848  266.937
1045  2.80271 -0.849  267.156
1046  2.80271 -0.849  267.344
1047  2.80271 -0.849  267.562
1048  2.80271 -0.849  267.781
1049  2.80271 -0.849  268.031
1050  2.80271 -0.850  268.344
1051  2.80271 -0.850  268.625
1052  2.80271 -0.851  268.844
1053  2.80271 -0.851  269.062
1054  2.80271 -0.850  269.312
1055  2.80271 -0.850  269.500
1056  2.80271 -0.850  269.812
1057  2.80271 -0.850  270.156
1058  2.80292 -0.851  270.375
1059  2.80271 -0.850  270.562
1060  2.80271 -0.850  270.750
1061  2.80271 -0.850  270.969
1062  2.80292 -0.850  271.281
1063  2.80292 -0.850  271.625
1064  2.80292 -0.850  271.812
1065  2.80292 -0.850  271.969
1066  2.80292 -0.850  272.187
1067  2.80292 -0.850  272.406
1068  2.80292 -0.850  272.719
1069  2.80292 -0.850  273.031
1070  2.80292 -0.851  273.219
1071  2.80292 -0.851  273.406
1072  2.80292 -0.850  273.625
1073  2.80292 -0.850  273.906
1074  2.80292 -0.851  274.187
1075  2.80292 -0.851  274.406
1076  2.80292 -0.851  274.656
1077  2.80312 -0.850  274.875
1078  2.80312 -0.850  275.125
1079  2.80292 -0.850  275.406
1080  2.80292 -0.850  275.656
1081  2.80292 -0.850  275.875
1082  2.80312 -0.850  276.125
1083  2.80312 -0.850  276.344
1084  2.80312 -0.850  276.625
1085  2.80312 -0.850  276.906
1086  2.80312 -0.850  277.094
1087  2.80312 -0.850  277.281
1088  2.80312 -0.850  277.531
1089  2.80312 -0.850  277.875
1090  2.80312 -0.850  278.094
1091  2.80312 -0.850  278.312
1092  2.80312 -0.850  278.469
1093  2.80312 -0.849  278.781
1094  2.80312 -0.850  279.094
1095  2.80312 -0.850  279.312
1096  2.80312 -0.851  279.469
1097  2.80312 -0.851  279.687
1098  2.80312 -0.850  280.000
1099  2.80333 -0.850  280.219
1100  2.80333 -0.850  280.437
1101  2.80333 -0.850  280.656
1102  2.80312 -0.850  280.906
1103  2.80312 -0.850  281.156
1104  2.80333 -0.850  281.406
1105  2.80333 -0.850  281.625
1106  2.80333 -0.850  281.844
1107  2.80333 -0.850  282.156
1108  2.80333 -0.850  282.344
1109  2.80333 -0.850  282.562
1110  2.80333 -0.850  282.750
1111  2.80333 -0.850  283.000
1112  2.80354 -0.850  283.250
1113  2.80354 -0.850  283.469
1114  2.80354 -0.850  283.750
1115  2.80333 -0.850  284.031
1116  2.80354 -0.850  284.250
1117  2.80354 -0.850  284.437
1118  2.80333 -0.850  284.781
1119  2.80354 -0.850  285.031
1120  2.80354 -0.850  285.250
1121  2.80354 -0.850  285.469
1122  2.80354 -0.850  285.719
1123  2.80354 -0.850  286.062
1124  2.80354 -0.850  286.281
1125  2.80354 -0.850  286.469
1126  2.80354 -0.850  286.656
1127  2.80354 -0.850  286.969
1128  2.80354 -0.850  287.250
1129  2.80354 -0.850  287.406
1130  2.80354 -0.850  287.625
1131  2.80354 -0.850  287.906
1132  2.80375 -0.850  288.187
1133  2.80354 -0.850  288.344
1134  2.80375 -0.850  288.562
1135  2.80375 -0.850  288.875
1136  2.80354 -0.850  289.094
1137  2.80375 -0.850  289.312
1138  2.80375 -0.850  289.562
1139  2.80375 -0.850  289.875
1140  2.80354 -0.850  290.094
1141  2.80375 -0.851  290.312
1142  2.80375 -0.850  290.531
1143  2.80375 -0.850  290.844
1144  2.80375 -0.850  291.094
1145  2.80375 -0.851  291.281
1146  2.80375 -0.851  291.469
1147  2.80375 -0.851  291.781
1148  2.80375 -0.851  292.062
1149  2.80375 -0.851  292.281
1150  2.80375 -0.851  292.437
1151  2.80354 -0.851  292.719
1152  2.80354 -0.853  293.000
1153  2.80375 -0.855  293.187
1154  2.80354 -0.855  293.406
1155  2.80354 -0.855  293.719
1156  2.80354 -0.855  293.969
1157  2.80333 -0.854  294.187
1158  2.80354 -0.856  294.375
1159  2.80375 -0.856  294.594
1160  2.80375 -0.855  294.937
1161  2.80375 -0.855  295.187
1162  2.80375 -0.854  295.406
1163  2.80375 -0.854  295.625
1164  2.80375 -0.853  296.000
1165  2.80375 -0.853  296.250
1166  2.80375 -0.852  296.469
1167  2.80375 -0.853  296.687
1168  2.80396 -0.853  296.969
1169  2.80375 -0.852  297.312
1170  2.80396 -0.852  297.531
1171  2.80396 -0.851  297.750
1172  2.80417 -0.851  297.969
1173  2.80417 -0.850  298.250
1174  2.80417 -0.850  298.594
1175  2.80417 -0.849  298.812
1176  2.80417 -0.849  299.000
1177  2.80437 -0.848  299.281
1178  2.80417 -0.848  299.562
1179  2.80437 -0.848  299.906
1180  2.80437 -0.848  300.125
1181  2.80437 -0.848  300.344
1182  2.80437 -0.848  300.562
1183  2.80437 -0.848  300.812
1184  2.80437 -0.848  301.156
1185  2.80437 -0.848  301.437
1186  2.80437 -0.849  301.656
1187  2.80437 -0.849  301.844
1188  2.80437 -0.849  302.094
1189  2.80437 -0.848  302.375
1190  2.80437 -0.848  302.719
1191  2.80437 -0.848  302.969
1192  2.80458 -0.848  303.125
1193  2.80458 -0.847  303.375
1194  2.80458 -0.847  303.594
1195  2.80437 -0.848  303.906
1196  2.80437 -0.849  304.250
1197  2.80437 -0.849  304.437
1198  2.80437 -0.850  304.656
1199  2.80437 -0.850  304.875
1200  2.80437 -0.850  305.125
1201  2.80458 -0.849  305.437
1202  2.80437 -0.849  305.750
1203  2.80458 -0.850  305.969
1204  2.80437 -0.850  306.156
1205  2.80458 -0.850  306.406
1206  2.80458 -0.850  306.656
1207  2.80458 -0.850  306.906
1208  2.80458 -0.850  307.250
1209  2.80437 -0.851  307.469
1210  2.80437 -0.851  307.687
1211  2.80458 -0.851  307.906
1212  2.80458 -0.851  308.156
1213  2.80437 -0.851  308.375
1214  2.80458 -0.851  308.687
1215  2.80437 -0.851  309.031
1216  2.80458 -0.851  309.250
1217  2.80458 -0.851  309.437
1218  2.80479 -0.851  309.625
1219  2.80458 -0.850  309.875
1220  2.80479 -0.849  310.125
1221  2.80479 -0.849  310.437
1222  2.80479 -0.848  310.781
1223  2.80458 -0.848  310.969
1224  2.80458 -0.850  311.156
1225  2.80458 -0.851  311.406
1226  2.80479 -0.851  311.625
1227  2.80458 -0.851  311.844
1228  2.80458 -0.850  312.094
1229  2.80458 -0.851  312.469
1230  2.80458 -0.852  312.750
1231  2.80479 -0.852  312.969
1232  2.80479 -0.852  313.125
1233  2.80458 -0.851  313.375
1234  2.80479 -0.850  313.594
1235  2.80479 -0.851  313.844
1236  2.80479 -0.851  314.062
1237  2.80458 -0.852  314.344
1238  2.80479 -0.852  314.719
1239  2.80479 -0.852  314.937
1240  2.80479 -0.852  315.125
1241  2.80479 -0.851  315.312
1242  2.80479 -0.852  315.500
1243  2.80500 -0.853  315.750
1244  2.80458 -0.852  316.000
1245  2.80500 -0.852  316.219
1246  2.80521 -0.851  316.406
1247  2.80521 -0.849  316.687
1248  2.80500 -0.847  317.000
1249  2.80521 -0.847  317.281
1250  2.80521 -0.847  317.531
1251  2.80521 -0.847  317.750
1252  2.80521 -0.847  317.969
1253  2.80521 -0.847  318.156
1254  2.80521 -0.846  318.281
1255  2.80542 -0.846  318.531
1256  2.80542 -0.846  318.812
1257  2.80521 -0.846  319.031
1258  2.80521 -0.846  319.250
1259  2.80521 -0.846  319.437
1260  2.80521 -0.847  319.687
1261  2.80542 -0.847  320.000
1262  2.80521 -0.847  320.312
1263  2.80521 -0.847  320.531
1264  2.80521 -0.848  320.687
1265  2.80521 -0.848  320.844
1266  2.80542 -0.848  321.062
1267  2.80521 -0.848  321.250
1268  2.80542 -0.848  321.469
1269  2.80542 -0.847  321.750
1270  2.80542 -0.847  322.031
1271  2.80542 -0.847  322.312
1272  2.80542 -0.847  322.531
1273  2.80542 -0.847  322.687
1274  2.80542 -0.847  322.937
1275  2.80542 -0.848  323.156
1276  2.80542 -0.847  323.375
1277  2.80542 -0.848  323.687
1278  2.80542 -0.848  324.031
1279  2.80563 -0.848  324.250
1280  2.80542 -0.848  324.375
1281  2.80542 -0.847  324.562
1282  2.80542 -0.848  324.781
1283  2.80542 -0.847  325.000
1284  2.80563 -0.848  325.344
1285  2.80542 -0.848  325.562
1286  2.80542 -0.848  325.750
1287  2.80563 -0.847  325.969
1288  2.80563 -0.847  326.219
1289  2.80563 -0.847  326.469
1290  2.80563 -0.847  326.750
1291  2.80563 -0.847  327.031
1292  2.80563 -0.847  327.250
1293  2.80563 -0.847  327.469
1294  2.80583 -0.847  327.656
1295  2.80563 -0.847  327.906
1296  2.80563 -0.847  328.187
1297  2.80563 -0.847  328.562
1298  2.80563 -0.847  328.781
1299  2.80563 -0.847  328.937
1300  2.80583 -0.847  329.156
1301  2.80583 -0.847  329.375
1302  2.80583 -0.847  329.625
1303  2.80563 -0.847  330.000
1304  2.80583 -0.847  330.219
1305  2.80583 -0.847  330.406
1306  2.80583 -0.847  330.594
1307  2.80583 -0.847  330.844
1308  2.80583 -0.846  331.156
1309  2.80583 -0.847  331.406
1310  2.80583 -0.846  331.625
1311  2.80583 -0.846  331.844
1312  2.80583 -0.846  332.094
1313  2.80583 -0.846  332.375
1314  2.80583 -0.847  332.656
1315  2.80583 -0.848  332.906
1316  2.80583 -0.848  333.125
1317  2.80583 -0.847  333.375
1318  2.80604 -0.847  333.594
1319  2.80583 -0.848  333.875
1320  2.80583 -0.848  334.156
1321  2.80604 -0.848  334.406
1322  2.80604 -0.848  334.625
1323  2.80583 -0.848  334.812
1324  2.80604 -0.848  335.125
1325  2.80583 -0.848  335.437
1326  2.80604 -0.848  335.625
1327  2.80604 -0.848  335.844
1328  2.80604 -0.848  336.031
1329  2.80583 -0.848  336.375
1330  2.80583 -0.848  336.687
1331  2.80604 -0.849  336.875
1332  2.80604 -0.849  337.062
1333  2.80604 -0.849  337.281
1334  2.80604 -0.849  337.594
1335  2.80604 -0.848  337.906
1336  2.80604 -0.849  338.094
1337  2.80604 -0.849  338.281
1338  2.80604 -0.848  338.531
1339  2.80604 -0.848  338.875
1340  2.80604 -0.848  339.062
1341  2.80604 -0.848  339.281
1342  2.80604 -0.848  339.469
1343  2.80604 -0.848  339.781
1344  2.80604 -0.849  340.062
1345  2.80604 -0.850  340.281
1346  2.80604 -0.850  340.500
1347  2.80542 -0.850  340.781
1348  2.80563 -0.854  341.062
1349  2.80583 -0.857  341.250
1350  2.80563 -0.856  341.437
1351  2.80583 -0.856  341.750
1352  2.80604 -0.855  342.000
1353  2.80604 -0.853  342.187
1354  2.80563 -0.852  342.406
1355  2.80437 -0.854  342.656
1356  2.80437 -0.865  342.906
1357  2.80437 -0.872  343.062
1358  2.80437 -0.875  343.344
1359  2.80437 -0.876  343.625
1360  2.80437 -0.876  343.844
1361  2.80437 -0.876  344.031
1362  2.80437 -0.876  344.312
1363  2.80437 -0.876  344.594
1364  2.80458 -0.876  344.781
1365  2.80437 -0.876  345.000
1366  2.80437 -0.876  345.312
1367  2.80458 -0.877  345.562
1368  2.80458 -0.877  345.719
1369  2.80437 -0.877  345.969
1370  2.80437 -0.877  346.250
1371  2.80458 -0.877  346.437
1372  2.80437 -0.877  346.656
1373  2.80437 -0.877  346.906
1374  2.80437 -0.877  347.125
1375  2.80437 -0.877  347.344
1376  2.80458 -0.877  347.594
1377  2.80521 -0.877  347.844
1378  2.80542 -0.873  348.031
1379  2.80542 -0.867  348.219
1380  2.80542 -0.864  348.531
1381  2.80542 -0.864  348.750
1382  2.80542 -0.863  348.937
1383  2.80542 -0.863  349.187
1384  2.80563 -0.864  349.437
1385  2.80563 -0.864  349.625
1386  2.80563 -0.863  349.844
1387  2.80563 -0.863  350.156
1388  2.80542 -0.864  350.375
1389  2.80542 -0.864  350.562
1390  2.80542 -0.864  350.812
1391  2.80542 -0.865  351.094
1392  2.80542 -0.865  351.250
1393  2.80542 -0.866  351.469
1394  2.80500 -0.866  351.781
1395  2.80563 -0.870  351.969
1396  2.80563 -0.869  352.156
1397  2.80583 -0.865  352.437
1398  2.80604 -0.863  352.719
1399  2.80583 -0.861  352.906
1400  2.80583 -0.859  353.125
1401  2.80583 -0.860  353.437
1402  2.80583 -0.860  353.656
1403  2.80604 -0.861  353.875
1404  2.80604 -0.860  354.062
1405  2.80604 -0.861  354.375
1406  2.80583 -0.860  354.594
1407  2.80583 -0.860  354.750
1408  2.80583 -0.861  355.031
1409  2.80604 -0.861  355.312
1410  2.80604 -0.861  355.531
1411  2.80604 -0.861  355.750
1412  2.80604 -0.861  356.062
1413  2.80604 -0.860  356.344
1414  2.80604 -0.860  356.531
1415  2.80646 -0.860  356.750
1416  2.80646 -0.858  357.031
1417  2.80625 -0.857  357.344
1418  2.80646 -0.857  357.531
1419  2.80646 -0.857  357.750
1420  2.80625 -0.856  358.062
1421  2.80667 -0.857  358.344
1422  2.80646 -0.856  358.562
1423  2.80646 -0.855  358.781
1424  2.80688 -0.856  359.062
1425  2.80688 -0.854  359.406
1426  2.80688 -0.852  359.594
1427  2.80688 -0.851  359.781
1428  2.80688 -0.850  360.000
1429  2.80688 -0.850  360.344
1430  2.80688 -0.851  360.594
1431  2.80688 -0.851  360.812
1432  2.80667 -0.851  361.094
1433  2.80688 -0.852  361.375
1434  2.80688 -0.853  361.594
1435  2.80667 -0.852  361.875
1436  2.80667 -0.852  362.062
1437  2.80688 -0.853  362.375
1438  2.80667 -0.854  362.719
1439  2.80667 -0.855  362.969
1440  2.80667 -0.855  363.187
1441  2.80667 -0.856  363.437
1442  2.80667 -0.856  363.719
1443  2.80667 -0.857  364.031
1444  2.80667 -0.858  364.250
1445  2.80667 -0.857  364.469
1446  2.80667 -0.856  364.687
1447  2.80688 -0.856  365.000
1448  2.80688 -0.856  365.312
1449  2.80688 -0.856  365.562
1450  2.80708 -0.855  365.781
1451  2.80708 -0.854  366.000
1452  2.80708 -0.853  366.250
1453  2.80708 -0.853  366.656
1454  2.80688 -0.853  366.906
1455  2.80688 -0.854  367.094
1456  2.80688 -0.855  367.344
1457  2.80688 -0.855  367.562
1458  2.80688 -0.855  367.844
1459  2.80688 -0.856  368.219
1460  2.80688 -0.856  368.437
1461  2.80708 -0.856  368.625
1462  2.80708 -0.856  368.844
1463  2.80688 -0.855  369.125
1464  2.80708 -0.855  369.406
1465  2.80708 -0.855  369.750
1466  2.80688 -0.856  369.937
1467  2.80708 -0.856  370.094
1468  2.80708 -0.856  370.375
1469  2.80688 -0.855  370.562
1470  2.80708 -0.855  370.906
1471  2.80708 -0.856  371.219
1472  2.80708 -0.856  371.437
1473  2.80708 -0.856  371.656
1474  2.80708 -0.855  371.906
1475  2.80708 -0.856  372.125
1476  2.80708 -0.856  372.406
1477  2.80708 -0.855  372.781
1478  2.80729 -0.856  373.031
1479  2.80729 -0.855  373.187
1480  2.80729 -0.855  373.406
1481  2.80729 -0.855  373.656
1482  2.80729 -0.854  373.875
1483  2.80729 -0.854  374.156
1484  2.80729 -0.854  374.500
1485  2.80729 -0.854  374.750
1486  2.80729 -0.854  374.937
1487  2.80729 -0.854  375.156
1488  2.80729 -0.855  375.375
1489  2.80729 -0.855  375.625
1490  2.80729 -0.855  375.875
1491  2.80729 -0.855  376.156
1492  2.80729 -0.855  376.531
1493  2.80729 -0.855  376.750
1494  2.80729 -0.856  376.969
1495  2.80729 -0.856  377.156
1496  2.80729 -0.856  377.375
1497  2.80708 -0.856  377.594
1498  2.80708 -0.858  377.812
1499  2.80688 -0.859  378.062
1500  2.80708 -0.860  378.281
1501  2.80708 -0.860  378.562
1502  2.80708 -0.859  378.875
1503  2.80708 -0.859  379.125
1504  2.80708 -0.859  379.344
1505  2.80708 -0.858  379.500
1506  2.80708 -0.858  379.687
1507  2.80708 -0.859  379.906
1508  2.80729 -0.859  380.156
1509  2.80750 -0.858  380.406
1510  2.80708 -0.857  380.750
1511  2.80708 -0.858  381.000
1512  2.80708 -0.859  381.156
1513  2.80708 -0.860  381.375
1514  2.80708 -0.860  381.625
1515  2.80708 -0.860  381.875
1516  2.80708 -0.860  382.062
1517  2.80708 -0.861  382.406
1518  2.80708 -0.861  382.656
1519  2.80708 -0.861  382.844
1520  2.80708 -0.861  383.031
1521  2.80708 -0.861  383.219
1522  2.80708 -0.861  383.531
1523  2.80708 -0.861  383.906
1524  2.80729 -0.862  384.094
1525  2.80708 -0.861  384.312
1526  2.80729 -0.861  384.500
1527  2.80729 -0.861  384.719
1528  2.80729 -0.861  385.000
1529  2.80729 -0.861  385.344
1530  2.80708 -0.861  385.531
1531  2.80729 -0.861  385.719
1532  2.80729 -0.861  385.937
1533  2.80729 -0.861  386.125
1534  2.80729 -0.861  386.406
1535  2.80729 -0.861  386.687
1536  2.80729 -0.861  386.937
1537  2.80729 -0.861  387.187
1538  2.80729 -0.861  387.375
1539  2.80729 -0.861  387.625
1540  2.80729 -0.861  387.969
1541  2.80729 -0.861  388.187
1542  2.80729 -0.861  388.406
1543  2.80750 -0.861  388.594
1544  2.80750 -0.861  388.844
1545  2.80729 -0.861  389.219
1546  2.80750 -0.861  389.469
1547  2.80750 -0.861  389.656
1548  2.80750 -0.861  389.875
1549  2.80750 -0.861  390.125
1550  2.80750 -0.861  390.469
1551  2.80750 -0.861  390.719
1552  2.80750 -0.861  390.875
1553  2.80771 -0.861  391.094
1554  2.80771 -0.859  391.375
1555  2.80792 -0.858  391.687
1556  2.80792 -0.858  391.937
