*PS118_3-1
*Lat -63.420
*Lon -56.615
*Cast 3 21 Feb 2019 22:14:27 4800 4.14 normal end
*ConfigurationData:
*DeviceType=90745 UCTD
*Version=CTD
*SerialNumber=70200240
*Settings:
*ReplyFormat=plain text
*BlueToothBaudRate=9600
*CalibrationCoefficients:
*Temperature:
*CalDate=22-Jun-18
*Coefficients:
*A0=8.159933e-04
*A1=2.842136e-04
*A2=-2.477711e-06
*A3=2.057825e-07
*Conductivity:
*CalDate=22-Jun-18
*Coefficients:
*G=-9.785558e-01
*H=1.515467e-01
*I=-3.345472e-04
*J=5.199529e-05
*PCOR=-9.570000e-08
*TCOR=3.250000e-06
*SLOPE=1.000000e+00
*Pressure:
*CalDate=21-Jun-18
*SerialNumber=4632589
*Coefficients:
*A0=7.164904e-01
*A1=8.943803e-03
*A2=4.003241e-11
*PTEMP A0=-9.068422e+01
*PTEMP A1=3.690209e-02
*PTEMP A2=1.012678e-06
*TC A0=5.255498e+05
*TC A1=-6.376865e+00
*TC A2=4.055661e-01
*TC B0=1.031837e+02
*TC B1=-3.724696e-03
*TC B2=0.000000e+00
*RANGE=2.900000e+03
*OFFSET=0.000000e+00
*sampling rate: 16 Hz
*scan# C[S/m]  T[degC]  P[dbar]
161  2.79833 -0.745   40.594
162  2.79833 -0.746   40.906
163  2.79813 -0.746   41.156
164  2.79813 -0.745   41.375
165  2.79813 -0.745   41.625
166  2.79813 -0.745   41.906
167  2.79833 -0.745   42.187
168  2.79833 -0.745   42.437
169  2.79833 -0.746   42.719
170  2.79833 -0.746   43.125
171  2.79833 -0.746   43.406
172  2.79833 -0.746   43.687
173  2.79833 -0.746   43.906
174  2.79833 -0.746   44.187
175  2.79854 -0.745   44.437
176  2.79854 -0.745   44.656
177  2.79854 -0.745   44.937
178  2.79854 -0.745   45.187
179  2.79854 -0.745   45.500
180  2.79854 -0.745   45.812
181  2.79854 -0.745   46.094
182  2.79854 -0.745   46.437
183  2.79854 -0.745   46.719
184  2.79854 -0.746   47.000
185  2.79854 -0.746   47.281
186  2.79854 -0.746   47.531
187  2.79854 -0.745   47.781
188  2.79854 -0.745   48.000
189  2.79854 -0.745   48.281
190  2.79854 -0.745   48.531
191  2.79854 -0.745   48.781
192  2.79854 -0.745   49.062
193  2.79875 -0.745   49.312
194  2.79875 -0.745   49.625
195  2.79875 -0.745   49.906
196  2.79875 -0.745   50.156
197  2.79875 -0.745   50.469
198  2.79875 -0.745   50.812
199  2.79875 -0.745   51.125
200  2.79875 -0.745   51.375
201  2.79875 -0.745   51.687
202  2.79875 -0.745   51.937
203  2.79875 -0.745   52.219
204  2.79875 -0.745   52.437
205  2.79896 -0.745   52.687
206  2.79875 -0.745   52.969
207  2.79896 -0.745   53.250
208  2.79875 -0.745   53.500
209  2.79896 -0.745   53.781
210  2.79896 -0.745   54.031
211  2.79875 -0.745   54.312
212  2.79896 -0.745   54.594
213  2.79896 -0.745   54.812
214  2.79896 -0.745   55.062
215  2.79896 -0.745   55.344
216  2.79896 -0.745   55.594
217  2.79896 -0.745   55.812
218  2.79896 -0.745   56.062
219  2.79896 -0.745   56.344
220  2.79896 -0.745   56.594
221  2.79896 -0.745   56.875
222  2.79896 -0.745   57.125
223  2.79896 -0.745   57.344
224  2.79938 -0.745   57.625
225  2.79938 -0.744   57.844
226  2.79938 -0.744   58.125
227  2.79938 -0.743   58.375
228  2.79938 -0.743   58.656
229  2.79938 -0.743   58.969
230  2.79938 -0.744   59.219
231  2.79938 -0.744   59.469
232  2.79938 -0.744   59.719
233  2.79958 -0.744   59.969
234  2.79958 -0.744   60.219
235  2.79938 -0.744   60.500
236  2.79958 -0.744   60.875
237  2.79958 -0.744   61.187
238  2.79958 -0.744   61.469
239  2.79958 -0.744   61.687
240  2.79958 -0.744   61.906
241  2.79958 -0.744   62.094
242  2.79958 -0.744   62.344
243  2.79958 -0.744   62.562
244  2.79958 -0.744   62.812
245  2.79958 -0.744   63.062
246  2.79958 -0.744   63.312
247  2.79958 -0.744   63.594
248  2.79958 -0.744   63.906
249  2.79958 -0.744   64.156
250  2.79958 -0.744   64.469
251  2.79958 -0.744   64.781
252  2.79979 -0.744   65.094
253  2.79958 -0.744   65.281
254  2.79979 -0.744   65.531
255  2.79958 -0.744   65.750
256  2.79958 -0.744   66.000
257  2.79979 -0.744   66.281
258  2.79958 -0.744   66.563
259  2.79979 -0.744   66.781
260  2.80000 -0.744   67.031
261  2.79979 -0.744   67.375
262  2.79979 -0.744   67.688
263  2.79979 -0.744   67.969
264  2.79979 -0.744   68.219
265  2.79979 -0.744   68.438
266  2.79979 -0.744   68.625
267  2.80000 -0.744   68.906
268  2.80000 -0.744   69.156
269  2.80000 -0.744   69.438
270  2.79979 -0.744   69.750
271  2.79979 -0.744   70.094
272  2.79979 -0.744   70.375
273  2.79979 -0.744   70.563
274  2.79979 -0.744   70.844
275  2.79979 -0.744   71.063
276  2.80000 -0.744   71.344
277  2.80000 -0.744   71.594
278  2.80000 -0.744   71.875
279  2.80000 -0.744   72.219
280  2.80000 -0.744   72.531
281  2.80000 -0.744   72.813
282  2.80000 -0.744   73.000
283  2.80000 -0.744   73.188
284  2.80000 -0.744   73.469
285  2.80000 -0.743   73.719
286  2.80000 -0.744   74.000
287  2.80000 -0.744   74.375
288  2.80000 -0.744   74.688
289  2.80000 -0.744   74.875
290  2.80021 -0.744   75.063
291  2.80021 -0.744   75.313
292  2.80021 -0.743   75.594
293  2.80021 -0.743   75.875
294  2.80021 -0.744   76.219
295  2.80021 -0.744   76.500
296  2.80021 -0.744   76.750
297  2.80021 -0.743   77.000
298  2.80021 -0.743   77.250
299  2.80042 -0.743   77.500
300  2.80021 -0.743   77.781
301  2.80021 -0.744   78.156
302  2.80021 -0.744   78.375
303  2.80021 -0.744   78.563
304  2.80042 -0.744   78.844
305  2.80042 -0.744   79.094
306  2.80042 -0.744   79.406
307  2.80042 -0.745   79.719
308  2.80042 -0.745   79.938
309  2.80042 -0.746   80.156
310  2.80042 -0.747   80.406
311  2.80021 -0.747   80.656
312  2.80042 -0.748   80.969
313  2.80042 -0.748   81.313
314  2.80042 -0.748   81.531
315  2.80042 -0.748   81.781
316  2.80042 -0.748   82.031
317  2.80042 -0.748   82.281
318  2.80042 -0.749   82.594
319  2.80042 -0.749   82.906
320  2.80042 -0.748   83.063
321  2.80042 -0.747   83.313
322  2.80042 -0.747   83.594
323  2.80042 -0.748   83.875
324  2.80042 -0.749   84.156
325  2.80042 -0.749   84.438
326  2.80042 -0.748   84.688
327  2.80063 -0.748   84.906
328  2.80042 -0.748   85.125
329  2.80042 -0.748   85.500
330  2.80063 -0.748   85.781
331  2.80063 -0.748   85.969
332  2.80063 -0.748   86.156
333  2.80063 -0.747   86.406
334  2.80063 -0.747   86.781
335  2.80063 -0.747   87.063
336  2.80063 -0.747   87.281
337  2.80063 -0.747   87.531
338  2.80063 -0.748   87.750
339  2.80083 -0.748   88.094
340  2.80063 -0.747   88.406
341  2.80063 -0.748   88.625
342  2.80083 -0.748   88.906
343  2.80083 -0.747   89.094
344  2.80083 -0.747   89.344
345  2.80083 -0.747   89.719
346  2.80083 -0.747   90.000
347  2.80083 -0.747   90.219
348  2.80083 -0.747   90.438
349  2.80083 -0.747   90.625
350  2.80083 -0.747   90.938
351  2.80083 -0.748   91.281
352  2.80083 -0.748   91.563
353  2.80083 -0.748   91.781
354  2.80083 -0.747   92.031
355  2.80083 -0.748   92.281
356  2.80104 -0.748   92.531
357  2.80083 -0.748   92.875
358  2.80083 -0.748   93.156
359  2.80104 -0.748   93.375
360  2.80104 -0.748   93.625
361  2.80104 -0.747   93.875
362  2.80104 -0.747   94.094
363  2.80104 -0.746   94.469
364  2.80104 -0.747   94.844
365  2.80125 -0.747   95.063
366  2.80104 -0.747   95.281
367  2.80125 -0.746   95.500
368  2.80104 -0.746   95.750
369  2.80125 -0.746   96.063
370  2.80125 -0.746   96.375
371  2.80125 -0.747   96.719
372  2.80104 -0.747   96.969
373  2.80104 -0.747   97.188
374  2.80104 -0.748   97.406
375  2.80125 -0.748   97.656
376  2.80104 -0.748   97.938
377  2.80125 -0.748   98.250
378  2.80125 -0.748   98.625
379  2.80104 -0.748   98.938
380  2.80104 -0.749   99.188
381  2.80125 -0.749   99.375
382  2.80125 -0.749   99.656
383  2.80104 -0.749   99.906
384  2.80125 -0.749  100.156
385  2.80125 -0.749  100.406
386  2.80125 -0.749  100.719
387  2.80125 -0.749  101.094
388  2.80125 -0.749  101.375
389  2.80125 -0.749  101.563
390  2.80125 -0.750  101.813
391  2.80125 -0.750  102.063
392  2.80125 -0.749  102.344
393  2.80125 -0.749  102.563
394  2.80125 -0.749  102.844
395  2.80146 -0.749  103.219
396  2.80146 -0.748  103.563
397  2.80146 -0.748  103.781
398  2.80146 -0.748  104.000
399  2.80146 -0.748  104.250
400  2.80146 -0.747  104.531
401  2.80146 -0.747  104.813
402  2.80167 -0.747  105.031
403  2.80146 -0.747  105.281
404  2.80146 -0.747  105.625
405  2.80146 -0.748  105.969
406  2.80146 -0.748  106.250
407  2.80146 -0.748  106.500
408  2.80146 -0.749  106.719
409  2.80146 -0.749  106.938
410  2.80146 -0.749  107.219
411  2.80167 -0.749  107.500
412  2.80146 -0.749  107.750
413  2.80146 -0.748  108.063
414  2.80125 -0.749  108.344
415  2.80104 -0.751  108.594
416  2.80104 -0.754  108.906
417  2.80063 -0.755  109.219
418  2.80063 -0.758  109.531
419  2.80042 -0.761  109.813
420  2.80042 -0.764  110.063
421  2.80042 -0.765  110.281
422  2.80042 -0.766  110.531
423  2.80021 -0.767  110.813
424  2.80042 -0.767  111.031
425  2.80042 -0.767  111.313
426  2.80063 -0.767  111.563
427  2.80042 -0.766  111.844
428  2.80063 -0.765  112.094
429  2.80042 -0.765  112.375
430  2.80063 -0.765  112.594
431  2.80063 -0.765  112.938
432  2.80063 -0.765  113.219
433  2.80042 -0.765  113.531
434  2.80063 -0.766  113.813
435  2.80063 -0.767  114.063
436  2.80063 -0.766  114.313
437  2.80042 -0.766  114.563
438  2.80021 -0.766  114.781
439  2.80021 -0.768  115.031
440  2.80021 -0.769  115.250
441  2.80021 -0.770  115.500
442  2.80000 -0.771  115.750
443  2.79979 -0.773  116.000
444  2.80000 -0.775  116.281
445  2.80021 -0.775  116.531
446  2.80000 -0.774  116.813
447  2.80000 -0.775  117.063
448  2.80021 -0.776  117.344
449  2.80000 -0.776  117.594
450  2.80000 -0.776  117.844
451  2.80000 -0.777  118.094
452  2.79979 -0.777  118.344
453  2.79979 -0.778  118.625
454  2.80000 -0.779  118.875
455  2.80000 -0.779  119.188
456  2.80000 -0.778  119.469
457  2.80000 -0.779  119.750
458  2.80000 -0.779  120.000
459  2.80000 -0.778  120.250
460  2.80042 -0.778  120.500
461  2.80021 -0.776  120.719
462  2.80021 -0.775  120.969
463  2.80063 -0.775  121.188
464  2.80063 -0.773  121.438
465  2.80083 -0.770  121.719
466  2.80063 -0.769  121.938
467  2.80083 -0.768  122.156
468  2.80083 -0.768  122.438
469  2.80104 -0.767  122.688
470  2.80083 -0.766  122.906
471  2.80104 -0.765  123.156
472  2.80104 -0.765  123.375
473  2.80104 -0.765  123.656
474  2.80125 -0.766  123.875
475  2.80125 -0.765  124.125
476  2.80104 -0.764  124.344
477  2.80125 -0.763  124.656
478  2.80125 -0.763  124.938
479  2.80125 -0.763  125.156
480  2.80125 -0.762  125.406
481  2.80125 -0.763  125.625
482  2.80146 -0.763  125.875
483  2.80146 -0.761  126.125
484  2.80125 -0.761  126.344
485  2.80104 -0.762  126.594
486  2.80104 -0.764  126.844
487  2.80104 -0.767  127.156
488  2.80125 -0.768  127.469
489  2.80125 -0.768  127.750
490  2.80104 -0.767  128.000
491  2.80104 -0.767  128.219
492  2.80125 -0.768  128.469
493  2.80146 -0.768  128.656
494  2.80146 -0.765  128.875
495  2.80167 -0.762  129.094
496  2.80167 -0.759  129.344
497  2.80167 -0.758  129.563
498  2.80167 -0.759  129.844
499  2.80167 -0.759  130.094
500  2.80167 -0.759  130.344
501  2.80188 -0.758  130.625
502  2.80188 -0.758  130.875
503  2.80188 -0.757  131.188
504  2.80167 -0.757  131.500
505  2.80167 -0.758  131.813
506  2.80167 -0.759  132.125
507  2.80146 -0.759  132.344
508  2.80146 -0.763  132.563
509  2.80125 -0.765  132.781
510  2.80125 -0.767  133.031
511  2.80125 -0.768  133.250
512  2.80125 -0.768  133.500
513  2.80125 -0.768  133.781
514  2.80125 -0.768  134.031
515  2.80125 -0.769  134.281
516  2.80125 -0.769  134.594
517  2.80125 -0.769  134.906
518  2.80146 -0.769  135.188
519  2.80146 -0.769  135.438
520  2.80146 -0.768  135.656
521  2.80146 -0.767  135.875
522  2.80146 -0.767  136.125
523  2.80167 -0.766  136.406
524  2.80167 -0.765  136.688
525  2.80167 -0.764  136.938
526  2.80167 -0.764  137.188
527  2.80167 -0.764  137.531
528  2.80167 -0.765  137.844
529  2.80167 -0.766  138.094
530  2.80188 -0.766  138.281
531  2.80167 -0.765  138.469
532  2.80188 -0.764  138.750
533  2.80188 -0.764  139.031
534  2.80188 -0.763  139.250
535  2.80208 -0.763  139.500
536  2.80229 -0.761  139.813
537  2.80229 -0.759  140.156
538  2.80229 -0.758  140.438
539  2.80208 -0.758  140.656
540  2.80229 -0.759  140.875
541  2.80229 -0.758  141.094
542  2.80229 -0.758  141.375
543  2.80229 -0.759  141.625
544  2.80229 -0.759  141.875
545  2.80208 -0.760  142.219
546  2.80229 -0.760  142.531
547  2.80229 -0.760  142.750
548  2.80229 -0.761  142.969
549  2.80208 -0.761  143.250
550  2.80208 -0.762  143.500
551  2.80208 -0.762  143.719
552  2.80250 -0.762  144.063
553  2.80250 -0.761  144.344
554  2.80250 -0.759  144.563
555  2.80271 -0.757  144.781
556  2.80271 -0.756  145.031
557  2.80271 -0.755  145.281
558  2.80271 -0.755  145.563
559  2.80271 -0.755  145.875
560  2.80271 -0.755  146.188
561  2.80271 -0.755  146.406
562  2.80271 -0.755  146.594
563  2.80271 -0.755  146.844
564  2.80271 -0.755  147.063
565  2.80271 -0.754  147.406
566  2.80271 -0.755  147.750
567  2.80292 -0.755  147.938
568  2.80292 -0.755  148.156
569  2.80292 -0.755  148.375
570  2.80292 -0.755  148.625
571  2.80292 -0.755  148.938
572  2.80292 -0.755  149.250
573  2.80292 -0.755  149.500
574  2.80292 -0.755  149.688
575  2.80292 -0.755  149.938
576  2.80292 -0.755  150.188
577  2.80292 -0.755  150.500
578  2.80292 -0.755  150.813
579  2.80292 -0.755  151.031
580  2.80312 -0.755  151.219
581  2.80292 -0.754  151.469
582  2.80292 -0.754  151.750
583  2.80292 -0.754  152.125
584  2.80292 -0.754  152.344
585  2.80292 -0.754  152.531
586  2.80312 -0.754  152.750
587  2.80312 -0.753  153.000
588  2.80312 -0.753  153.313
589  2.80312 -0.753  153.625
590  2.80312 -0.754  153.844
591  2.80312 -0.754  154.031
592  2.80312 -0.754  154.313
593  2.80312 -0.754  154.625
594  2.80312 -0.754  154.938
595  2.80312 -0.755  155.156
596  2.80312 -0.755  155.375
597  2.80312 -0.755  155.594
598  2.80312 -0.755  155.875
599  2.80333 -0.754  156.219
600  2.80333 -0.754  156.438
601  2.80333 -0.753  156.688
602  2.80333 -0.752  156.906
603  2.80333 -0.752  157.188
604  2.80333 -0.752  157.500
605  2.80333 -0.752  157.781
606  2.80333 -0.752  157.969
607  2.80354 -0.752  158.188
608  2.80333 -0.752  158.438
609  2.80333 -0.752  158.781
610  2.80333 -0.753  159.125
611  2.80354 -0.753  159.344
612  2.80354 -0.753  159.531
613  2.80354 -0.752  159.750
614  2.80354 -0.751  160.031
615  2.80354 -0.751  160.344
616  2.80354 -0.752  160.688
617  2.80354 -0.752  160.906
618  2.80354 -0.752  161.094
619  2.80354 -0.752  161.375
620  2.80375 -0.752  161.625
621  2.80354 -0.751  161.969
622  2.80375 -0.751  162.281
623  2.80375 -0.751  162.469
